Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Sefton,9.941940179,10.17519443,10.36858052,10.52046789,10.70744453,10.92854533,11.2035073,11.52661998,11.82462531,12.14327921,12.46970316,12.81030286,13.16048036,13.51612119,13.87061546,14.21785238,14.55438489,14.97156003,15.2781222,15.56032035,15.818535,16.04638437,16.23837374,16.39787097,16.53440976,16.64878811,16.74297649,16.81425393
South Lakeland,599486.0984,616802.392,631518.271,660805.4647,692153.2162,710701.1031,732919.9544,758696.7497,779458.604,801312.9833,824201.3389,848201.5153,874618.8157,900452.3054,927634.491,952693.4597,976988.6672,1001330.757,1026530.125,1056335.361,1074335.452,1103436.839,1123729.284,1135559.155,1159411.401,1178443.494,1185975.936,1192001.989
South Ribble,454387.4075,470068.247,481462.2472,491819.2395,514116.8334,528157.2147,544068.7579,562015.8928,577561.0887,593073.9632,609121.8008,625676.2673,642593.6985,659976.652,677890.6752,697952.7203,713970.1702,730640.8465,745309.5901,758904.1861,774799.6072,786091.5234,796420.8354,804475.0044,812534.4052,820737.885,825731.3921,829755.5347
St. Helens,219989.2981,224784.586,229983.4692,237995.9404,245696.9604,253215.5061,259668.9366,267464.6096,275216.709,283461.1799,292051.1172,301099.4716,310463.9047,320115.9427,329848.6474,339480.1441,348905.9433,358658.7036,367457.3328,375675.6023,383260.4387,390174.6617,395778.2359,400560.7521,404728.2652,408304.0965,411343.768,413836.1352
Staffordshire Moorlands,23.81201928,24.23891292,24.73512378,25.32109119,26.08550754,26.9911243,28.07319673,29.33539553,30.28711844,31.25982515,32.23779056,33.22517069,34.2112341,35.35324345,38.74301215,39.66291817,40.53936426,41.40790258,42.21663663,42.96710016,43.67112095,44.31808621,44.82417844,45.92164687,46.31636865,46.6701317,46.98628644,47.2573993
Stockport,1185466.033,1239728.802,1290864.911,1346091.641,1404645.408,1454686.295,1505412.286,1562535.91,1602506.28,1644251.675,1680419.9,1717113.537,1754391.681,1795497.3,1832425.271,1868430.212,1902629.267,1940917.995,1973766.054,2003138.317,2030024.504,2054632.001,2085225.499,2102449.367,2117923.761,2131691.911,2148313.151,2167092.638
Tameside,1004640.961,1044129.715,1071598.713,1095773.948,1123888.622,1155734.389,1192575.425,1242407.882,1276363.482,1311430.658,1347956.266,1384384.155,1421878.88,1459287.032,1496206.399,1531976.411,1566433.315,1600486.587,1632442.402,1708573.271,1735195.204,1759994.277,1781055.993,1799457.45,1814413.905,1826587.948,1837345.812,1846381.332
Trafford,1039859.532,1070182.563,1105994.179,1201747.064,1276041.423,1309587.107,1338719.93,1372488.151,1402135.182,1434217.389,1466390.765,1499427.041,1538678.546,1575156.254,1609717.403,1644175.417,1677084.942,1712842.697,1745394.304,1773842.004,1800126.758,1824035.319,1871582.485,1888671.087,1989790.678,2001971.492,2015548.689,2027898.531
Warrington,105176.8271,109446.1158,111227.6318,114092.9617,117107.1713,120397.8378,123740.235,127652.0662,131342.4822,135262.5468,139361.5844,143674.3626,148116.711,152678.9455,157288.8483,162318.619,166793.6697,171176.6008,175283.3936,179117.7293,182647.5431,185831.5052,188486.5185,190750.6377,192716.0993,194394.433,195810.4311,196921.2177
West Lancashire,378180.6605,388163.8219,396885.3375,403352.7579,411381.2975,421320.7426,433081.684,446467.3834,458264.5,470710.5588,483468.8008,496739.5439,510347.6373,524267.8019,538045.8903,551485.0003,564472.9889,580008.6843,591882.0872,602842.3365,612918.8145,621929.2145,630012.5642,636413.229,642552.4373,648521.3067,652356.3414,655350.1615
Wigan,1320875.548,1356698.68,1384173.106,1427042.486,1474622.304,1509895.711,1550291.453,1597375.676,1639875.794,1684774.798,1730933.585,1778781.034,1828415.242,1878511.317,1928425.183,1977237.425,2024530.13,2077022.708,2120517.035,2160870.104,2197933.536,2231467.032,2260068.305,2283792.265,2305015.402,2323876.135,2339212.901,2352377.18
Wyre,448403.7112,463139.9951,476845.3045,486331.2955,498755.385,514368.8224,531575.0098,550209.5455,565395.5064,580974.2415,596972.558,613508.358,630377.1834,647874.488,665002.1034,681723.1339,697604.1496,715110.5214,729731.2512,743308.2642,756080.9216,767627.8021,779142.5695,787568.2025,797181.4427,808247.4927,813430.2704,817701.1693
