Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Salford,7214.604568,9844.671454,13135.07222,17024.92997,21621.67701,28160.68662,36011.39743,44379.77827,52512.5018,60526.93115,68295.06886,75785.78711,83686.68028,91357.16631,98593.83247,105366.1489,111519.8587,117140.649,121899.5333,125932.7226,129341.1566,132107.3707,134373.5021,136033.229,137209.9383,138057.0299,138765.522,139351.5941
Sefton,0.194641606,0.265976054,0.352777575,0.45235076,0.56683662,0.730224246,0.927398163,1.139901841,1.348336435,1.554865074,1.756021933,1.950828735,2.160934754,2.36612856,2.56041823,2.742856817,2.910004276,3.063795779,3.196338507,3.3125322,3.4137805,3.500607249,3.537672354,3.565138831,3.589739167,3.611555985,3.631620669,3.649904543
South Lakeland,4547.528499,6178.243864,8224.868229,10697.37619,13703.14422,17979.56764,23129.75154,28687.47704,34145.42135,39563.02945,44847.39334,49971.51615,55516.77906,60940.40304,66079.52967,70908.24628,75337.5629,79416.62921,82941.14079,86014.50813,88609.62616,90813.57113,92631.56676,94027.38918,95159.41914,96018.24026,96707.49852,97269.83957
South Ribble,4216.762312,5724.766148,7667.367068,10046.4536,12962.31312,17123.08706,22132.16521,27494.66503,32726.39702,37891.20475,42904.76305,47745.71057,52876.9538,57865.76242,62576.78245,66989.63957,71021.4117,74718.5495,77889.45713,80656.08922,83043.38505,85062.7936,86756.22475,88010.57593,89019.17187,89762.87698,90281.59832,90703.86839
St. Helens,2067.283515,2812.76802,3774.542634,4956.332719,6406.811882,8473.721335,10958.44565,13612.96307,16197.96406,18747.77115,21221.08036,23607.67438,26131.75165,28583.75338,30898.13153,33065.17699,35044.06439,36857.79688,38411.68818,39714.206,40835.8991,41799.38713,42603.61339,43218.73835,43731.68793,44130.44264,44431.39186,44651.70735
Staffordshire Moorlands,0.369190424,0.502681852,0.670274105,0.872183284,1.116361609,1.463281409,1.880209004,2.327983387,2.765938443,3.199624016,3.621768031,4.030366216,4.46903113,4.897087335,5.302136094,5.682264322,6.030400852,6.350480234,6.626191221,6.867751468,7.078078912,7.24174401,7.377332301,7.471785027,7.552377851,7.619681147,7.675856197,7.719688596
Stockport,11523.61487,15574.99518,20588.733,26445.37929,33307.18217,43052.13817,54745.41427,67224.63518,79363.12048,91338.64103,102958.3073,114173.3649,125962.9712,137416.5619,148172.2251,158083.9986,167075.0009,175256.9487,182236.2482,188219.4935,193304.2642,197646.6183,201128.6249,203573.5161,205515.8656,206917.4422,207965.0861,208843.9693
Tameside,6754.818085,9217.139291,12360.56922,16183.56325,20828.43425,27435.11758,35365.85418,43825.84796,52053.43679,60165.92833,68032.57659,75621.29462,83646.78996,91442.21647,98788.09836,105636.4827,111889.6075,117620.4843,122527.9218,126774.509,130397.1449,133519.7385,136016.7215,137790.7238,139234.0777,140373.1151,141277.0233,141958.2405
Trafford,8563.83583,11529.91436,15235.60072,19574.51061,24661.73437,31894.80713,40570.02044,49786.3175,58716.29034,67499.37319,75998.32935,84181.56549,92652.44296,100850.1081,108567.741,115775.8467,122335.4401,128326.103,133413.0858,137631.2247,141226.3394,144186.8845,146456.2008,148024.0424,149189.7402,150028.9759,150672.8587,151222.2797
Warrington,958.1659982,1296.023819,1712.917826,2197.084877,2760.758255,3561.270043,4521.602781,5545.290261,6540.062147,7520.786323,8471.787073,9389.175048,10351.3015,11285.37233,12166.41728,12990.77291,13742.74408,14431.21205,15019.3719,15507.14317,15883.57248,16208.80205,16482.38835,16662.18551,16806.47001,16902.79924,16973.13031,17039.12146
West Lancashire,3941.411723,5358.999337,7166.353681,9351.704461,11994.44368,15764.0132,20300.35136,25152.29544,29881.6084,34548.1914,39076.32244,43447.01134,48072.84588,52568.1398,56812.04427,60786.44861,64416.166,67743.74321,70595.03106,73080.79008,75232.24993,77023.04212,78455.45434,79521.50241,80311.83263,80883.51454,81309.36204,81661.81047
Wigan,10769.25306,14659.34829,19690.18625,25882.22313,33497.14321,44359.67398,57429.74837,71406.76793,85030.2932,98472.33244,111514.4089,124102.076,137439.1272,150400.025,162636.3738,174096.2802,184565.1175,194162.7765,202390.9616,209527.9646,215650.6969,220781.6811,225054.1074,228281.9619,230940.879,232974.7867,234531.6524,235756.7899
Wyre,4151.084173,5668.954387,7593.049147,9923.352249,12747.02351,16764.40446,21592.26827,26760.52367,31801.75358,36782.42065,41620.71413,46295.39225,51280.65841,56133.82037,60720.19682,65019.53044,68951.11141,72560.21642,75660.34368,78369.54278,80718.2585,82718.17927,84294.43361,85362.44206,86222.11418,86887.72144,87393.91933,87809.7283
