Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Sefton,9.941940179,10.6538068,11.11380581,11.45087702,11.80088324,12.15310113,12.5226329,12.92808087,13.83764831,14.27822174,14.69905704,15.59911136,16.35360782,17.07123364,17.74447373,18.36431608,18.91300706,19.48753175,19.92910789,20.30440534,20.63612356,20.93982358,21.23106455,21.497358,21.74665085,21.97658941,22.17109191,22.09338666
South Lakeland,599486.0984,640420.7736,663927.6986,699905.0549,742149.3482,766073.0023,797426.7224,829807.7125,861356.3067,898794.5488,931609.3148,973568.5576,1041734.824,1117064.527,1164094.472,1208357.969,1250836.869,1290969.092,1318517.324,1349018.311,1367157.784,1384312.39,1406909.126,1422984.917,1437579.009,1451882.454,1463256.296,1457843.214
South Ribble,454387.4075,496474.2647,524246.3898,546690.5645,579196.0124,605216.6097,628390.4383,651698.0867,677004.4464,704343.7521,729782.215,755225.0279,792519.433,826880.651,859663.5202,892759.502,919649.9229,947066.5705,968245.8355,986683.2219,1006463.482,1021792.168,1036453.67,1050496.271,1063774.1,1076211.172,1086998.238,1084741.728
St. Helens,219989.2981,233252.9079,242231.7249,253218.6279,264061.9693,274469.8807,283420.0401,293338.8124,306931.3957,318483.697,329955.4527,344839.5897,363267.0963,380931.1928,397399.0003,412564.6618,426061.2648,438389.4088,449052.0901,458181.4926,466213.175,473726.7576,480878.1533,487573.4516,493873.1731,499757.2794,504970.3454,504224.1486
Staffordshire Moorlands,23.81201928,24.31010653,25.01162321,25.78699259,26.72069568,27.72130167,28.7701258,29.9520172,31.11287403,32.21545848,33.27092532,34.52085476,36.61507547,41.19660299,45.54181542,47.34618318,48.98307274,50.45550371,51.81541211,53.01497276,54.10008037,55.13622434,56.14321917,57.1152318,58.0475903,58.92897558,59.71461757,59.64110903
Stockport,1185466.033,1299333.867,1436621.636,1608512.86,1684932.199,1772296.066,1829488.464,1899709.431,1962786.844,2012412.919,2068623.095,2137001.215,2237919.968,2324140.907,2396071.654,2470010.488,2528260.483,2584971.328,2633655.711,2675088.223,2711740.495,2746041.038,2789356.32,2820021.662,2848649.066,2876535.346,2898842.315,2892399.022
Tameside,1004640.961,1104058.907,1153893.094,1187676.895,1228390.129,1270021.796,1312788.625,1370062.495,1439837.6,1483100.248,1525308.659,1574302.039,1670631.158,1741780.156,1812754.337,1875274.623,1931687.661,1986174.383,2032116.241,2072354.515,2107361.748,2140590.887,2172947.853,2203918.482,2230840.468,2254704.06,2274962.153,2270120.529
Trafford,1039859.532,1131629.547,1193541.444,1305637.9,1396408.699,1442917.262,1492638.448,1536855.893,1602734.082,1675776.56,1766485.457,1823960.663,1913927.136,1999507.58,2158057.02,2215873.088,2265732.026,2319722.507,2362166.237,2396983.738,2427711.654,2456041.143,2483201.345,2508083.727,2531321.105,2552617.047,2570661.846,2567772.491
Warrington,105176.8271,115558.2704,119224.0697,122999.4345,127068.7322,131262.7054,135323.7173,140053.3469,145494.8486,151052.4528,156610.5972,162883.4484,171919.6877,180580.1167,188638.9223,196532.0774,203205.8919,209130.3638,214373.5288,218867.7495,222875.8786,226588.5486,230152.9638,233576.4026,236838.1514,239929.5874,242601.8076,242280.9283
West Lancashire,378180.6605,407024.2295,426905.2145,440650.8589,455523.5325,472299.178,488064.9612,504084.9521,533477.0347,552508.5903,568799.8769,599156.0771,627956.6897,655600.3878,681446.0468,705318.3849,726521.9166,749381.0317,766455.1445,781112.9523,794128.2509,806175.5988,817734.9879,828474.5466,838591.8139,848007.3882,856060.2919,853590.4815
Wigan,1320875.548,1420552.135,1484872.373,1557055.998,1628202.916,1685114.163,1742405.002,1804568.712,1895911.688,1960870.968,2022797.456,2116004.594,2220619.94,2320038.167,2412722.438,2497927.311,2573170.65,2647841.063,2708203.389,2760130.927,2805884.335,2848466.786,2889162.546,2927238.036,2962953.885,2996019.32,3024462.246,3017879.802
Wyre,448403.7112,487280.9709,516872.3273,535742.8896,557958.5004,586377.6587,609469.4761,630166.8207,651831.5095,680156.3483,700481.7296,726450.0322,760995.135,794681.6857,826445.4946,855714.2661,881731.2448,911255.6646,932207.0214,950564.45,967178.2098,982715.492,997629.6069,1011901.375,1025499.974,1038340.183,1049525.439,1047810.823
