Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Salford,2028.679404,2808.084825,4148.977388,5730.413618,7896.842748,10068.95193,11955.64815,13408.78296,14495.78045,15431.72013,16298.48399,18412.94655,24633.52373,30897.88564,37108.81186,43059.22286,48493.08776,53411.81527,58112.12724,62270.22534,66155.12373,70235.6683,74573.27475,79157.71766,83808.96725,88445.47339,92888.69699,92575.61107
Sefton,0.004833222,0.010743105,0.019540547,0.029575015,0.047921086,0.065901393,0.078472062,0.087804302,0.094151936,0.098815047,0.102694942,0.121483934,0.188889462,0.256927324,0.324930425,0.391217021,0.455360257,0.517739727,0.578865208,0.632773615,0.684040371,0.740459885,0.799730146,0.86157702,0.924788937,0.988397088,1.051929544,1.05175742
South Lakeland,388.3689593,678.3118643,1121.617183,1665.995994,2630.929171,3620.991199,4420.384183,5048.041092,5500.306664,5869.265579,6212.045856,7300.472918,10823.29565,14400.73277,17995.56748,21496.09664,24855.29297,28067.95712,31227.26751,34063.75441,36734.38463,39627.86668,42680.23954,45901.65669,49209.46573,52548.50353,55864.68065,56021.93658
South Ribble,300.5057523,562.4132629,978.2955419,1478.01844,2214.091283,2938.851105,3549.269957,4042.384069,4447.578969,4818.269692,5170.116497,6210.425278,9409.715326,12662.245,15926.68434,19135.83018,22200.70605,25093.609,27953.17594,30617.74476,33202.17044,35927.24929,38753.96929,41674.55422,44635.56763,47614.12051,50554.99039,50715.01279
St. Helens,140.5502335,266.6696188,479.2973694,745.1725496,1145.468845,1546.838049,1886.639839,2157.509252,2383.395848,2594.78762,2796.092245,3324.136658,4870.024646,6445.505846,8042.890696,9612.956255,11113.34064,12520.34976,13904.49491,15178.46005,16407.01355,17709.36469,19075.4507,20492.82659,21928.56811,23372.4897,24802.05173,24913.99079
Staffordshire Moorlands,0.028788089,0.050452604,0.086409654,0.130968039,0.197879243,0.266765223,0.326562739,0.374599417,0.413700326,0.449073799,0.483196879,0.560835077,0.781146141,1.006795127,1.233928428,1.45622176,1.665104527,1.858863495,2.048965196,2.221968639,2.387207873,2.562776489,2.749587072,2.946452027,3.147249511,3.349706497,3.549525135,3.567490092
Stockport,1209.972211,1910.129796,2929.702562,4206.604105,6087.562915,7990.390253,9646.899499,10931.49582,11864.04568,12663.13974,13419.67764,15905.10319,23953.45991,32020.25958,40044.92657,47834.25304,55125.84281,61999.26024,68676.54172,74858.8097,80763.79159,86880.65115,93250.30388,99893.386,106622.2649,113353.1652,119861.6621,119741.8322
Tameside,790.4096918,1319.890646,2135.696593,3198.588462,4853.730155,6541.343435,7977.391565,9051.062012,9862.086207,10566.15353,11250.37322,13266.31335,19553.08807,25860.24716,32145.01277,38226.79076,43897.60716,49173.40071,54256.27208,58813.23264,63100.73098,67588.2233,72304.31857,77219.0786,82160.35575,87063.22887,91790.26313,91545.51336
Trafford,1044.32596,1658.085224,2553.922759,3665.06899,5262.348628,6884.201792,8290.523804,9361.905546,10107.94094,10724.6198,11304.39835,13113.6872,18921.22593,24714.47496,30439.52049,35941.85053,40998.18301,45683.47067,50174.43049,54240.50984,58082.92522,62048.88027,66207.67065,70576.1614,74989.71449,79371.31602,83539.4454,83162.13123
Warrington,46.03551191,79.01205925,130.2555744,203.976814,349.2410333,495.0422212,606.629696,690.44406,754.3345394,811.1711747,866.9123626,1060.170959,1688.490966,2324.230175,2966.235314,3598.876978,4210.479549,4797.879222,5372.812136,5890.493189,6387.074118,6925.615183,7492.89687,8083.790057,8684.564009,9288.878385,9887.756442,9923.489862
West Lancashire,318.5583426,578.87522,985.7313042,1465.470884,2203.638777,2931.151491,3507.006077,3939.093818,4250.593898,4504.478288,4730.383753,5461.56642,7857.686951,10251.29439,12619.61958,14894.12391,17017.88169,18995.95438,20905.36639,22579.24175,24142.0755,25796.78004,27526.00236,29320.1916,31122.98209,32906.72394,34632.57392,34431.26419
Wigan,1006.482264,1774.922078,3033.537579,4611.684747,7017.550485,9437.194825,11467.81123,13037.58756,14284.54487,15419.24683,16509.19232,19577.01326,28907.79464,38358.11155,47902.35293,57256.7825,66143.70465,74493.64466,82652.38375,90110.12032,97255.21138,104820.1917,112775.1936,121048.1146,129420.8364,137827.3996,146106.1282,146480.3675
Wyre,432.4504445,798.1632852,1389.823794,2090.725761,3071.976673,4067.628919,4940.32936,5694.729156,6325.788622,6906.626857,7477.111238,8720.653475,12150.80055,15655.79737,19191.28715,22636.56593,25852.89808,28827.8235,31736.59695,34439.67519,37041.29509,39806.22035,42689.10028,45692.18247,48753.03252,51839.90512,54881.16988,55153.7607
