Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Sefton,9.941940179,10.75912735,11.59629579,12.4845317,12.85962036,13.23241596,13.61501328,14.02845171,14.89879656,15.30106405,16.19643163,16.67105594,17.42136684,18.1426052,18.82257496,19.44830224,19.99863257,20.48510972,20.91791046,21.27851667,21.58795055,21.86183129,22.1156467,22.33771963,22.53791146,22.71473427,22.85532006,22.74932433
South Lakeland,599486.0984,645309.9587,676348.871,721646.0753,764320.0763,788264.7401,818983.6861,855755.5601,884825.9573,917893.786,965603.1046,1032000.639,1125034.595,1206525.044,1253342.815,1295118.927,1331750.953,1369308.176,1396694.718,1417920.463,1435173.044,1450634.733,1464389.706,1478254.242,1490550.642,1501922.837,1510827.552,1503188.569
South Ribble,454387.4075,501870.0531,541237.6938,581186.3226,618892.0748,648310.0028,671375.4247,701068.0199,724529.0526,746691.4369,775262.5551,800718.9671,843010.0053,879732.3454,915642.1345,948183.7721,974810.0394,998673.4433,1019548.112,1037455.093,1053093.757,1067428.546,1080871.089,1093445.508,1105114.228,1115824.196,1124856.673,1121318.633
St. Helens,219989.2981,234942.5072,245930.5437,259451.0923,270995.538,281951.8021,291228.7075,301245.8292,314103.2323,324488.1677,337213.9828,349392.5485,367524.6686,385219.9412,401906.1274,417361.9877,431129.8485,443240.4841,453964.9675,462989.4302,470730.3521,477784.1708,484331.5854,490312.2249,495822.9481,500864.6284,505217.7325,503749.704
Staffordshire Moorlands,23.81201928,24.30624323,25.00321121,25.77154496,26.69469081,27.67947877,28.70521621,29.85668845,31.08831535,32.10945975,35.5330865,36.87336504,38.91282891,51.87113242,53.70274382,57.79984649,59.39719303,60.81218653,62.13169263,63.28509582,64.3177023,65.29617269,66.24063887,67.14631107,68.00928988,68.81880455,69.53217808,69.38999982
Stockport,1185466.033,1313293.577,1458120.916,1636581.308,1718035.492,1808750.74,1882536.351,1956857.637,2020690.697,2071730.62,2163496.057,2216851.543,2342465.514,2433347.948,2505748.024,2572088.509,2629334.064,2679450.376,2724167.145,2762465.744,2795289.215,2825034.616,2852440.796,2877507.128,2899161.658,2918805.778,2933388.677,2924717.711
Tameside,1004640.961,1118654.574,1241169.82,1388115.424,1435853.86,1483015.778,1530456.831,1585796.857,1651860.627,1695005.011,1738590.132,1790667.809,1897704.888,1981082.349,2049810.203,2113510.155,2170322.667,2223587.586,2267257.893,2304855.293,2336638.163,2365986.698,2393345.242,2418592.357,2439657.624,2457485.923,2471341.47,2464469.77
Trafford,1039859.532,1145803.695,1238996.183,1393177.152,1491012.621,1546528.089,1606751.064,1662621.744,1737889.769,1820602.916,1930880.939,2088458.064,2286948.611,2402137.968,2484823.937,2550553.942,2601371.354,2645625.76,2686594.895,2721333.549,2751202.242,2777821.702,2802157.253,2820649.647,2836804.606,2850438.05,2860771.089,2855005.277
Warrington,105176.8271,116909.438,120826.0412,124536.6911,128677.3716,132868.1361,136819.6088,141320.2597,146143.6489,150994.7311,155912.2417,161762.3148,170586.5039,179199.7384,187308.0282,195235.4367,201998.1334,207977.7003,213213.7456,217617.5761,221444.2149,224897.7931,228137.8034,231187.9015,234045.3178,236711.5456,238957.2701,238241.2237
West Lancashire,378180.6605,410942.3824,445741.0368,481459.6217,497728.7229,515499.0386,531622.2076,551814.2668,579704.1754,595203.0198,624192.3927,643471.2808,672717.6467,701127.5853,729121.9762,754220.8022,775433.8345,794355.3195,811113.8911,825250.7821,837490.4708,848516.7989,858813.4069,868048.6697,876508.8058,884140.2682,890385.6083,886811.5655
Wigan,1320875.548,1434626.982,1527131.694,1638338.933,1714248.09,1776402.247,1838777.878,1907752.772,1999012.411,2060182.547,2149010.941,2219993.912,2325902.585,2426670.545,2521803.463,2608611.546,2684097.341,2751681.22,2810816.906,2860773.012,2903511.493,2942170.731,2977953.702,3010202.494,3039444.128,3065499.637,3086822.859,3076948.813
Wyre,448403.7112,491747.7292,540046.7359,586899.6279,612029.1677,642256.1769,665413.2324,700509.9007,720362.2506,739410.1947,761126.4387,787085.1312,823883.3483,860085.664,899013.6404,932050.3099,957936.8468,981435.1596,1002061.532,1019894.138,1035592.463,1050206.99,1064030.744,1076969.513,1089135.808,1100457.651,1110113.803,1107023.844
