Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Sefton,9.941940179,10.38695791,11.08878164,11.89926667,12.21375883,12.5833627,13.05162759,14.76016476,15.4363617,16.11864359,16.78364887,17.44772045,18.13334112,18.79699933,19.41653341,19.97554243,20.46025921,20.88316513,21.24145537,21.53871229,21.79053477,21.99577015,21.96284709,21.9003068,21.81926954,21.72723835,21.62247644,21.50165262
South Lakeland,599486.0984,625046.4109,650059.3071,713705.9038,780882.7691,818213.2933,851599.4227,903315.4218,999273.0243,1044426.425,1094410.046,1138614.608,1185381.804,1228585.592,1269319.44,1306832.7,1339606.56,1368293.474,1391076.967,1408744.463,1423533.476,1435423.006,1431821.292,1427173.215,1421412.664,1415153.515,1408014.121,1399930.972
South Ribble,454387.4075,482869.4013,515924.2879,556071.2342,596340.7814,630021.8567,656762.2767,697999.4857,741734.3362,784428.9249,818969.7823,851397.09,885863.6087,917586.6708,947367.5354,974660.7514,998649.9194,1019922.026,1037580.619,1052787.273,1065903.001,1077042.425,1076296.196,1074754.207,1072370.852,1069514.808,1066073.944,1061876.64
St. Helens,219989.2981,227645.9911,235760.4322,247373.9426,257535.4288,268467.8468,279672.1121,300629.2945,317553.4894,334379.7403,350825.7519,367159.4848,384013.9446,400498.1946,415823.9799,429749.486,442000.3967,452664.7112,461758.5632,469419.6887,475938.7605,481599.4772,481687.7724,481238.4263,480347.9918,479210.4667,477779.1534,475997.0618
Staffordshire Moorlands,23.81201928,23.70835933,24.05071016,24.50581945,25.18454489,26.11592156,27.50025252,31.86304086,33.8864415,40.84328313,42.63594655,44.39721118,48.61843797,50.49671075,52.2567758,53.92333789,55.42694496,56.76000147,57.93147393,59.0190718,59.93449727,60.74502173,60.77845608,60.76117536,60.69330482,60.60500258,60.47188776,60.29104603
Stockport,1185466.033,1268703.915,1387096.296,1606582.853,1704049.027,1790477.495,1858156.615,1995720.813,2108562.54,2186248.98,2257319.503,2327677.338,2402731.925,2472834.063,2537928.153,2596915.251,2647153.32,2691480.501,2728480.184,2760039.649,2786122.318,2807933.394,2806440.051,2802532.302,2796625.504,2789626.686,2781197.205,2771250.103
Tameside,1004640.961,1077546.945,1186888.747,1325779.794,1367010.034,1429922.333,1483404.213,1562766.369,1654119.283,1739527.996,1807708.664,1875795.387,1950086.186,2016716.737,2078763.663,2135559.926,2185904.977,2230038.403,2266960.898,2298550.638,2324596.824,2347103.241,2348761.424,2348920.603,2345550.022,2340074.25,2333476.586,2325420.832
Trafford,1039859.532,1105224.348,1202558.997,1370998.26,1502945.607,1555268.69,1625224.154,1735770.389,1830704.609,1951342.815,2028534.107,2104133.295,2183375.376,2255589.578,2320447.555,2373622.959,2419633.727,2459141.745,2493004.388,2521451.451,2545527.022,2565437.351,2569045.066,2569644.459,2568571.853,2567003.45,2563716.209,2559088.444
Warrington,105176.8271,112376.6666,114615.844,117298.3642,121204.059,125297.2322,130139.5718,137605.9576,145654.5709,153795.0603,161884.0565,169907.5825,178138.4839,186203.3607,193732.2207,200595.1092,206701.3852,212039.2756,216564.6894,220408.5877,223755.3032,226507.6798,226518.9436,226335.881,225944.8554,225434.8676,224777.8571,223919.8116
West Lancashire,378180.6605,396530.6545,426111.9764,458634.0141,472582.3013,490810.184,510032.7529,564794.07,595506.732,625023.4742,650606.733,676050.3673,702809.754,728273.034,752120.8044,773785.9891,792689.3218,809221.1112,823271.6536,835133.7157,845285.7839,853751.2539,852867.2296,850950.6583,848332.5064,845304.5584,841790.4662,837656.4731
Wigan,1320875.548,1385269.253,1459529.882,1562520.813,1631477.626,1691940.418,1764480.254,1921992.881,2027347.404,2127424.167,2222220.827,2316029.969,2412747.646,2505225.441,2590912.086,2668154.159,2734942.818,2793040.865,2842535.6,2884184.939,2919254.609,2948855.595,2947928.515,2943918.834,2937459.498,2929585.177,2919933.807,2908399.815
Wyre,448403.7112,473953.6152,515880.4963,558619.3028,581275.7316,613657.7344,640085.6733,678823.755,727726.7031,771764.5983,803009.5496,834187.4942,867690.1512,898475.252,927496.5316,954228.219,977834.5888,998584.7748,1016307.834,1031771.836,1045245.918,1056939.207,1056799.041,1055683.471,1053747.254,1051336.495,1048342.227,1044597.731
