Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Botany Bay,32.12998273,63.9024594,118.209838,185.8774525,286.3258681,388.6465711,476.5568672,549.996524,612.5010328,670.6524618,726.4126696,857.9647893,1228.331735,1606.276269,1988.824514,2363.443481,2718.702875,3048.81807,3372.922802,3671.858805,3960.293791,4267.383154,4588.878382,4922.296276,5260.444057,5600.574507,5937.297891,5965.650127
Bow Lane,82.44939923,164.1419285,303.9117925,466.0994241,678.9068558,890.1840398,1081.033748,1247.801077,1397.635716,1540.805743,1678.591717,1961.78308,2695.719452,3452.893097,4215.523458,4962.961363,5664.688124,6301.101669,6933.172485,7525.841726,8100.486351,8705.719405,9331.561051,9976.467931,10629.68612,11286.90144,11936.10738,12003.92613
Bowaters,1.571953968,2.447050474,3.624916128,5.656030506,9.845270339,14.35790706,18.14049688,20.20272036,20.97830675,21.34383278,21.58919089,24.13362145,34.75944559,45.09276656,55.71640061,66.06451549,75.95375831,85.65170068,94.71519173,101.7077856,107.9032067,114.7286416,123.0616073,132.7543686,142.8911976,153.1361765,163.0239001,162.9726166
Bowdon,65.67705302,115.3927723,186.8340843,274.9993351,404.9793535,536.3631624,644.7957445,728.5515298,790.961578,845.7282762,898.7623962,1064.299582,1595.351197,2134.64388,2674.239534,3201.425368,3696.014809,4166.666523,4627.132474,5057.347011,5472.575394,5914.648157,6381.237752,6870.967829,7370.280678,7873.427132,8365.223212,8396.738979
Bradford,64.51565943,112.2392157,201.194792,301.5560397,424.9745173,549.7949896,664.3857321,764.4868129,853.3092613,938.0803663,1018.835458,1139.536118,1397.481435,1668.065817,1942.847001,2206.009296,2441.277584,2639.597196,2832.216034,3003.64977,3164.598527,3337.841537,3524.382232,3722.759009,3925.368183,4129.58464,4330.056238,4359.911424
Bradshawgate,35.34121207,57.71971079,98.06586994,144.5714135,204.192407,264.8673496,320.448297,370.1923091,414.3079576,458.456567,500.8354361,575.018185,748.8610101,930.7132226,1115.780951,1294.692945,1460.421278,1607.465217,1753.070081,1890.28998,2020.917228,2159.591773,2304.391552,2455.209918,2608.808133,2763.81779,2916.323139,2942.971394
Bramhall,62.20845688,91.13641098,124.5881969,166.5081533,231.3704898,294.963765,347.6332514,386.1315755,406.5663861,418.814982,429.1895792,555.5473492,1051.413046,1547.45564,2043.169013,2530.927852,3001.172802,3465.740282,3924.00293,4364.045786,4797.140603,5242.492642,5701.14519,6178.353577,6666.164468,7159.82088,7643.404414,7655.125098
Bridgewater,99.00619253,107.2235022,126.5124241,148.9091775,181.0014222,212.1186215,236.8253833,257.0407313,273.7178432,289.0179346,303.1905141,339.8088519,448.7620817,560.7553976,671.3478433,778.7990647,880.651064,975.8060615,1068.695609,1153.104171,1234.143722,1322.385754,1414.893898,1511.272565,1611.125018,1712.316559,1812.15906,1819.925041
Brinksway,53.7235493,80.98973544,120.3886799,169.5242364,241.5826094,314.4126689,376.6673141,421.4912699,450.1689312,472.5529905,492.7319414,565.6680445,810.7474535,1051.048828,1284.124794,1503.891568,1701.464141,1881.865691,2050.688755,2197.983115,2331.442505,2467.61588,2609.666031,2758.106483,2905.34524,3047.79628,3177.672076,3131.740985
Broadheath,168.730715,277.4136591,455.0816168,665.6513989,943.0024909,1220.962175,1468.499037,1674.667853,1839.810695,1987.066791,2127.033014,2410.530174,3160.984451,3912.856093,4645.514037,5336.404013,5944.028955,6463.488027,6951.923285,7382.197926,7775.864272,8176.855976,8588.024286,9010.342381,9426.018719,9826.919295,10192.86566,10079.2854
