Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Bedford,735.876581,912.7122296,1198.680536,1594.90034,2130.052915,2895.84552,3757.110324,4656.626959,5519.915662,6353.558471,7142.116562,7925.963913,8742.845402,9576.6623,10356.33417,11081.85074,11735.0639,12325.63145,12840.98081,13284.67169,13665.84037,13992.75477,14268.2179,14484.4821,14663.03487,14810.84856,14921.33306,15005.97401
Belgrave,527.2689115,661.5463373,859.3829993,1112.550591,1430.004638,1879.508643,2378.555232,2897.210673,3393.101537,3871.344377,4323.226732,4773.228306,5243.323397,5724.391277,6174.101988,6592.58282,6956.410507,7279.138571,7560.437622,7802.381571,8010.255197,8188.511816,8308.784586,8382.307555,8434.269427,8481.237211,8521.528003,8554.729027
Benchill,264.0350991,330.8969511,421.61314,526.740701,645.1250416,810.2891148,990.17265,1176.66708,1354.783427,1526.619787,1689.06032,1851.619213,2021.690106,2196.714524,2352.218974,2471.375976,2578.233103,2674.979602,2759.229413,2831.648102,2894.123933,2941.487448,2972.396025,2996.994029,3012.952092,3027.756932,3039.72729,3049.47798
Bentham,181.9794479,225.7476884,294.3047929,388.0427444,514.1043727,694.74737,898.8791911,1115.829881,1327.174151,1533.266621,1729.943365,1926.654025,2139.470345,2358.127124,2563.897646,2756.443558,2931.127625,3090.325343,3230.85103,3353.369921,3460.187473,3553.057711,3632.562089,3697.13613,3751.434461,3786.941241,3812.556866,3834.238532
Bispham,752.9098471,939.6304651,1236.06547,1646.644827,2200.419238,2989.364282,3873.548916,4795.802917,5679.732938,6533.854991,7342.255671,8146.341676,8988.80913,9849.539607,10654.90634,11404.83538,12080.44346,12691.91858,13226.15577,13686.80198,14083.3331,14424.16668,14705.87115,14922.1232,15103.47836,15251.66691,15368.33028,15456.23861
Blackbull,745.9880291,918.3836563,1191.553802,1558.61366,2041.205085,2729.624013,3500.257597,4303.469646,5073.138842,5815.58758,6517.229704,7214.995782,7934.84976,8669.796488,9356.177538,9994.152491,10567.49573,11084.99333,11535.39134,11921.47202,12242.53605,12517.12386,12747.53855,12924.31928,13051.4481,13156.72539,13234.70811,13289.31086
Blackburn,463.8473532,584.1645255,752.5373006,956.1160174,1198.091544,1541.827999,1924.72399,2329.466824,2722.354512,3104.253206,3467.704485,3831.830793,4225.691417,4631.295074,5012.585381,5369.140864,5691.998392,5985.880075,6244.680068,6416.444069,6532.20778,6631.680213,6711.657325,6770.74862,6823.137258,6870.524818,6911.896672,6946.980337
Blackburn Rd Clayton,496.5715445,621.7308706,811.5099338,1059.853828,1379.325492,1837.347149,2353.119005,2896.906719,3423.245522,3933.60262,4418.184147,4901.597538,5416.943022,5945.077144,6440.57022,6903.039574,7321.014036,7700.511838,8033.612959,8322.272132,8572.182035,8787.863867,8945.612354,9028.39442,9095.428872,9155.6438,9207.918419,9251.998286
Blackfriars,233.9302535,292.9122952,373.947498,469.5775647,579.6585864,733.4074837,901.2431219,1075.237659,1241.374708,1401.688543,1553.261791,1704.843914,1863.363267,2026.380997,2178.822152,2320.736394,2439.841289,2541.784168,2630.632344,2707.037686,2746.26268,2770.056022,2790.185653,2806.969998,2822.185798,2833.983945,2843.761543,2852.300029
Blackley,550.18884,683.6221646,888.2851153,1158.838321,1508.858317,2005.402884,2558.092597,3131.836968,3679.724392,4207.737499,4706.30802,5202.168328,5714.806424,6238.492037,6727.480949,7181.985809,7580.817618,7934.328819,8241.845505,8505.684224,8731.635922,8924.870233,9069.829323,9176.198089,9265.010539,9337.837556,9395.857648,9435.561388
Blackpool,109.9365943,138.1564801,177.5602841,225.5417908,282.7692817,363.1190706,451.543477,543.7906973,632.3051096,717.9876356,799.2273101,880.48848,966.7243943,1055.408215,1138.52948,1216.064232,1286.010291,1345.553094,1395.295028,1438.278985,1473.76451,1491.333462,1505.98138,1516.781485,1526.542542,1535.240319,1542.615191,1548.906679
Bollington,573.2460824,698.777211,892.7633418,1147.50633,1476.594983,1942.056784,2459.08692,2998.995959,3517.317511,4018.88316,4494.258909,4968.61817,5459.240183,5961.981103,6432.146513,6869.646495,7263.406119,7619.401306,7929.995792,8197.128661,8426.322248,8616.518726,8768.839804,8880.869477,8961.945881,9013.919782,9059.351786,9097.899615
Bolton By Bowland,95.3563125,116.3759859,149.6537433,194.5094209,254.2124917,339.9296659,436.8951782,540.356194,641.4943564,740.2340245,834.5626664,929.0191135,1030.582989,1135.005013,1233.267752,1325.192707,1408.559354,1484.512388,1551.525815,1609.889037,1660.706883,1704.832527,1742.550542,1773.100101,1797.104109,1811.650289,1824.338548,1835.078103
Bolton Le Sands,708.6802624,877.213608,1140.959936,1500.265989,1979.955861,2661.828416,3424.841685,4224.533997,4994.393428,5740.673324,6449.070661,7155.542738,7901.117858,8664.991934,9380.980072,10048.65578,10651.49988,11198.21346,11677.41565,12091.99601,12450.20167,12759.06433,13020.92219,13233.09228,13405.29666,13529.07872,13608.55761,13669.30973
Botany Bay,399.881173,494.9987189,646.6573969,853.5274377,1129.893279,1526.10884,1972.683011,2442.035726,2895.003175,3333.698112,3749.778588,4164.226791,4600.708466,5047.194786,5465.498689,5855.394673,6207.238959,6526.09573,6805.30318,7046.579512,7254.757205,7433.981121,7585.630008,7707.82052,7794.916269,7867.994805,7920.579677,7959.46745
Bow Lane,945.1404841,1172.345171,1533.558815,2026.003283,2682.497215,3621.587837,4677.182353,5781.856712,6844.000295,7870.706075,8842.793852,9810.062263,10822.14604,11856.36857,12824.11936,13725.2149,14537.15546,15271.87375,15913.80371,16467.20154,16943.35375,17352.21837,17697.05336,17976.47288,18189.25236,18336.83982,18447.12379,18527.71856
Bowaters,9.236172535,11.76275994,15.3096532,19.67178763,24.95308548,32.48683869,40.92539578,49.86988108,58.57066913,67.03684611,75.10127423,83.17688125,92.01342912,101.1107654,109.6732029,117.689347,124.9619638,131.5924847,137.4456287,142.5517168,145.9307052,147.7467164,149.3772792,150.7310595,151.9474683,153.0457301,154.0042829,154.8168862
Bowdon,1053.46364,1270.957709,1601.348448,2014.200818,2520.734318,3232.849738,4015.025666,4822.444477,5590.246209,6328.192315,7023.334964,7715.768266,8401.805519,9102.974755,9754.626636,10357.55061,10895.65501,11378.04052,11793.55936,12128.33472,12404.80179,12611.90665,12731.5269,12791.61229,12844.27791,12892.514,12934.11538,12969.08854
Bradford,250.6702436,316.6562957,408.6688721,520.2196473,652.4878996,838.5127467,1043.32157,1256.176503,1459.789688,1656.325045,1842.185331,2027.753839,2223.579481,2424.629749,2609.245419,2771.882381,2918.289116,3050.901624,3166.747823,3243.490085,3299.654931,3348.759403,3391.07696,3424.345834,3451.813023,3475.640672,3493.967783,3505.891021
Bradshawgate,217.4130716,270.6755981,346.2088996,437.6260557,546.0279407,698.7785315,867.1757427,1042.663581,1210.950552,1373.500081,1527.31949,1680.997192,1841.542306,2006.381275,2160.569334,2303.595,2403.746539,2492.451048,2569.781336,2636.326403,2693.862519,2743.682526,2786.129423,2820.771647,2849.989487,2874.680703,2891.145468,2902.340741
Bramhall,945.2124968,1146.840708,1458.952129,1861.545188,2371.274318,3091.583384,3888.534082,4714.156639,5501.441341,6259.323766,6974.255782,7685.926591,8402.556311,9134.654556,9816.43627,10448.4427,11014.13279,11522.72078,11962.73782,12337.45196,12655.14482,12921.706,13109.64319,13210.38422,13285.71637,13349.15421,13401.3361,13442.2507
Bridgewater,59.76409393,74.70561965,95.9395825,122.3024829,154.3419238,198.9954334,247.7391373,297.8896937,345.4265355,391.1828839,434.3431509,477.3758292,521.7904128,567.3230182,609.8131732,649.2965093,684.738429,716.7097107,744.4973929,768.0768391,782.0016025,788.6705136,794.091893,798.5281429,802.4456408,806.0181821,808.4326792,810.5419192
Brinksway,470.0075577,576.7299511,731.1828404,924.6562101,1163.115144,1494.993998,1857.449923,2233.445888,2592.41948,2939.823333,3269.139324,3598.637278,3939.901303,4290.83116,4619.063907,4924.588259,5199.51719,5448.18739,5665.178834,5837.416562,5964.674263,6074.200837,6139.363832,6176.77289,6206.460652,6234.646998,6259.656677,6281.439418
Broadheath,1301.27648,1593.291749,2038.962893,2610.677629,3330.396889,4350.065406,5481.255973,6655.795497,7778.038629,8859.065765,9879.424977,10895.24156,11930.23417,12988.0303,13974.37692,14889.85884,15710.69618,16449.99123,17091.26585,17599.00003,18018.9535,18359.39878,18606.46304,18804.12162,18942.84934,19051.24164,19128.17242,19191.91077
Broadway,506.3067802,634.9321904,837.289898,1118.335081,1498.564374,2038.679225,2642.683629,3271.929015,3874.412874,4456.774816,5008.128471,5556.684135,6133.783739,6723.773626,7276.058979,7790.569349,8254.480109,8674.600506,9042.068423,9359.391714,9632.993523,9868.507652,10061.95473,10214.59924,10342.5272,10446.56825,10530.07557,10583.01637
Buckshaw,354.374631,437.7654794,569.481148,747.0073392,981.3582444,1316.097087,1691.614435,2084.330468,2461.751403,2826.485028,3171.739373,3515.384295,3873.502057,4239.533824,4581.895473,4900.546923,5187.494678,5446.996379,5673.523345,5868.581609,6036.177238,6179.877242,6300.832866,6397.699023,6468.405111,6514.546927,6545.378963,6571.584975
Burnley,500.6862084,625.6732337,823.4470915,1094.771548,1457.578278,1975.254092,2555.709285,3160.406836,3739.441969,4298.163742,4826.302796,5351.20364,5898.864479,6457.914366,6980.559823,7466.8704,7904.571056,8300.265203,8645.43549,8942.546422,9197.76021,9416.612036,9589.409073,9723.006546,9834.757018,9926.958395,9997.857409,10050.51757
Burnley Centre,257.7499647,323.6199617,425.8438736,563.668271,745.2723177,1004.810468,1296.195391,1600.664778,1893.013931,2175.409721,2442.612104,2708.407795,2987.871485,3273.440556,3540.692,3789.601125,4013.908587,4216.959013,4394.413628,4547.488258,4679.311836,4792.581046,4876.917421,4935.110571,4984.50051,5024.801005,5057.188774,5083.110962
